gm_code,gm_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
GM0824,Oisterwijk,2020,4.188895163728292,0.08663031258460678,-0.008237320595338838,0.061510896272984186,0.03245062490269742,-0.03210639591238302,0.03301250791664673
GM0824,Oisterwijk,2022,4.198030154613201,0.09576530346951587,-0.004750354167230968,0.06714937653001651,0.03027921063934138,-0.03765991460422241,0.04074698507161109
GM0826,Oosterhout,2002,4.072136311159445,-0.030128539984240248,NA,NA,NA,NA,NA
GM0826,Oosterhout,2008,4.062477372422089,-0.0397874787215959,NA,NA,NA,NA,NA
GM0826,Oosterhout,2012,4.073582371332675,-0.02868247981101068,NA,NA,NA,NA,NA
GM0826,Oosterhout,2014,4.068673344806395,-0.033591506337290036,-0.00962225262827255,-0.014062683119451904,0.004008453861757624,-0.022105170874096983,0.00819014642277351
GM0826,Oosterhout,2016,4.096854097521361,-0.005410753622324312,NA,NA,NA,NA,NA
GM0826,Oosterhout,2018,4.096719741184745,-0.005545109958940186,-0.009639100276212264,-0.0022187366841453894,0.0049229701857338255,-0.011362212742823938,0.012751969558507286
GM0826,Oosterhout,2020,4.115168961888722,0.012904110745036779,-0.0066728238555503845,0.005716693210679459,0.0020432306418055168,0.0021575074918959982,0.00965950325620592
GM0826,Oosterhout,2022,4.145666968150945,0.04340211700725953,6.085270069768507e-4,0.03475531512570097,0.005854645938135539,-0.015329518402540744,0.017513147338986623
GM0828,Oss,2002,4.095118563534143,-0.007146287609542574,NA,NA,NA,NA,NA
GM0828,Oss,2008,4.105800817191623,0.003535966047937218,NA,NA,NA,NA,NA
GM0828,Oss,2012,4.1108305582940226,0.008565707150337666,NA,NA,NA,NA,NA
GM0828,Oss,2014,4.071300222783047,-0.030964628360637847,-0.022666916973091523,0.0023969635281135353,0.019072694377050513,-0.03300958965222071,0.003242220359510064
GM0828,Oss,2016,4.086528915895115,-0.015735935248570216,NA,NA,NA,NA,NA
GM0828,Oss,2018,4.1055942325715735,0.003329381427888224,-0.019401272558019253,0.011567235704559926,0.019400197909677456,-0.02579639214864686,0.017559612520316688
GM0828,Oss,2020,4.105543357190807,0.0032785060471209556,-0.016443543076697594,0.011097890103197887,0.01534749692540719,-0.01851944002466944,0.011796102119882636
