"ID";"LeeftijdReferentiepersoon";"RegioS";"Perioden";"TotaalParticuliereHuishoudens_21"
"1781";"10000";"GM0484";"2006JJ00";"29392"
"1782";"10000";"GM0484";"2007JJ00";"29705"
"1783";"10000";"GM0484";"2008JJ00";"30293"
"1784";"10000";"GM0484";"2009JJ00";"30725"
"1785";"10000";"GM0484";"2010JJ00";"31009"
"1786";"10000";"GM0484";"2011JJ00";"30986"
"1787";"10000";"GM0484";"2012JJ00";"31216"
"1788";"10000";"GM0484";"2013JJ00";"31356"
"1789";"10000";"GM0484";"2014JJ00";"45269"
"1790";"10000";"GM0484";"2015JJ00";"45747"
"1791";"10000";"GM0484";"2016JJ00";"46088"
"1792";"10000";"GM0484";"2017JJ00";"46773"
"1793";"10000";"GM0484";"2018JJ00";"47347"
"1794";"10000";"GM0484";"2019JJ00";"48241"
"1795";"10000";"GM0484";"2020JJ00";"48720"
"1796";"10000";"GM0484";"2021JJ00";"49093"
"1797";"10000";"GM0484";"2022JJ00";"49413"
"1798";"10000";"GM0484";"2023JJ00";"50212"
"1799";"10000";"GM0484";"2024JJ00";"50699"
"1800";"10000";"GM1723";"2000JJ00";"3513"
"1801";"10000";"GM1723";"2001JJ00";"3534"
"1802";"10000";"GM1723";"2002JJ00";"3536"
"1803";"10000";"GM1723";"2003JJ00";"3531"
"1804";"10000";"GM1723";"2004JJ00";"3558"
"1805";"10000";"GM1723";"2005JJ00";"3614"
"1806";"10000";"GM1723";"2006JJ00";"3622"
"1807";"10000";"GM1723";"2007JJ00";"3663"
"1808";"10000";"GM1723";"2008JJ00";"3704"
"1809";"10000";"GM1723";"2009JJ00";"3699"
"1810";"10000";"GM1723";"2010JJ00";"3727"
"1811";"10000";"GM1723";"2011JJ00";"3760"
"1812";"10000";"GM1723";"2012JJ00";"3788"
"1813";"10000";"GM1723";"2013JJ00";"3857"
"1814";"10000";"GM1723";"2014JJ00";"3914"
"1815";"10000";"GM1723";"2015JJ00";"3957"
"1816";"10000";"GM1723";"2016JJ00";"4035"
"1817";"10000";"GM1723";"2017JJ00";"4108"
"1818";"10000";"GM1723";"2018JJ00";"4127"
"1819";"10000";"GM1723";"2019JJ00";"4172"
"1820";"10000";"GM1723";"2020JJ00";"4222"
"1821";"10000";"GM1723";"2021JJ00";"4296"
"1822";"10000";"GM1723";"2022JJ00";"4329"
"1823";"10000";"GM1723";"2023JJ00";"4387"
"1824";"10000";"GM1723";"2024JJ00";"4411"
"1825";"10000";"GM1959";"2000JJ00";
"1826";"10000";"GM1959";"2001JJ00";
"1827";"10000";"GM1959";"2002JJ00";
"1828";"10000";"GM1959";"2003JJ00";
"1829";"10000";"GM1959";"2004JJ00";
"1830";"10000";"GM1959";"2005JJ00";
"1831";"10000";"GM1959";"2006JJ00";
"1832";"10000";"GM1959";"2007JJ00";
"1833";"10000";"GM1959";"2008JJ00";
"1834";"10000";"GM1959";"2009JJ00";
"1835";"10000";"GM1959";"2010JJ00";
"1836";"10000";"GM1959";"2011JJ00";
"1837";"10000";"GM1959";"2012JJ00";
"1838";"10000";"GM1959";"2013JJ00";
"1839";"10000";"GM1959";"2014JJ00";
"1840";"10000";"GM1959";"2015JJ00";
"1841";"10000";"GM1959";"2016JJ00";
"1842";"10000";"GM1959";"2017JJ00";
